Rk,Team,Seed,Date,PTS,,Opp,Opp Seed,Result,Round,Region,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
92,Washington State,7,2024-03-23 NCAA,56,N,Iowa State,2,L 56-67,Rnd of 32,East,200,22,51,.431,17,28,.607,5,23,.217,7,9,.778,56,23,57,.404,16,43,.372,7,14,.500,14,17,.824,67
93,New Mexico,11,2024-03-22 NCAA,56,N,Clemson,6,L 56-77,Rnd of 64,West,200,19,64,.297,16,41,.390,3,23,.130,15,23,.652,56,28,63,.444,21,42,.500,7,21,.333,14,19,.737,77
94,Texas,7,2024-03-21 NCAA,56,N,Colorado State,10,W 56-44,Rnd of 64,Midwest,200,22,55,.400,21,41,.512,1,14,.071,11,17,.647,56,17,58,.293,11,34,.324,6,24,.250,4,6,.667,44
95,James Madison,12,2024-03-24 NCAA,55,N,Duke,4,L 55-93,Rnd of 32,South,199,19,50,.380,15,32,.469,4,18,.222,13,23,.565,55,33,63,.524,19,35,.543,14,28,.500,13,18,.722,93
96,Boise State,10,2024-03-20 NCAA,53,N,Colorado,10,L 53-60,First 4,South,200,23,67,.343,21,49,.429,2,18,.111,5,6,.833,53,21,48,.438,17,33,.515,4,15,.267,14,15,.933,60
97,Stetson,16,2024-03-22 NCAA,52,N,Connecticut,1,L 52-91,Rnd of 64,East,200,17,55,.309,14,35,.400,3,20,.150,15,20,.750,52,37,70,.529,28,46,.609,9,24,.375,8,10,.800,91
98,Mississippi State,8,2024-03-21 NCAA,51,N,Michigan State,9,L 51-69,Rnd of 64,West,200,20,54,.370,14,27,.519,6,27,.222,5,10,.500,51,27,54,.500,17,31,.548,10,23,.435,5,6,.833,69
99,Grambling State,16,2024-03-22 NCAA,50,N,Purdue,1,L 50-78,Rnd of 64,Midwest,200,20,55,.364,17,43,.395,3,12,.250,7,10,.700,50,28,59,.475,19,35,.543,9,24,.375,13,22,.591,78
100,Saint Peter's,15,2024-03-21 NCAA,49,N,Tennessee,2,L 49-83,Rnd of 64,Midwest,200,16,55,.291,12,31,.387,4,24,.167,13,19,.684,49,27,53,.509,16,29,.552,11,24,.458,18,25,.720,83
101,Vermont,13,2024-03-22 NCAA,47,N,Duke,4,L 47-64,Rnd of 64,South,200,20,52,.385,15,32,.469,5,20,.250,2,6,.333,47,19,45,.422,13,27,.481,6,18,.333,20,29,.690,64
102,Longwood,16,2024-03-22 NCAA,46,N,Houston,1,L 46-86,Rnd of 64,South,200,14,41,.341,11,28,.393,3,13,.231,15,16,.938,46,31,53,.585,20,30,.667,11,23,.478,13,22,.591,86
103,Colorado State,10,2024-03-21 NCAA,44,N,Texas,7,L 44-56,Rnd of 64,Midwest,200,17,58,.293,11,34,.324,6,24,.250,4,6,.667,44,22,55,.400,21,41,.512,1,14,.071,11,17,.647,56
104,Virginia,10,2024-03-19 NCAA,42,N,Colorado State,10,L 42-67,First 4,Midwest,200,14,56,.250,11,39,.282,3,17,.176,11,17,.647,42,26,47,.553,21,33,.636,5,14,.357,10,14,.714,67
