Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Juan Dixon,Coppin State,MEAC,,9,23,.281,,,,,2017-18,51,131,.280,,,,,,51,131,.280,,,,
Steve Donahue,Penn,Ivy,,17,13,.567,,,,,2015-16,112,93,.546,1,,,,,312,307,.504,4,1,,
Bryce Drew,Grand Canyon,WAC,,24,12,.667,,,Lost First Round,,2020-21,64,27,.703,2,,,,,228,135,.628,5,,,
Scott Drew,Baylor,Big 12,,23,11,.676,5,11,Lost Second Round,,2003-04,422,233,.644,11,5,1,1,,442,244,.644,11,5,1,1
Matthew Driscoll,North Florida,A-Sun,,14,17,.452,,,,,2009-10,217,231,.484,1,,,,,217,231,.484,1,,,
Eric Duft,Weber State,Big Sky,,18,15,.545,,,,,2022-23,18,15,.545,,,,,,18,15,.545,,,,
Baker Dunleavy,Quinnipiac,MAAC,,20,12,.625,,,,,2017-18,86,93,.480,,,,,,86,93,.480,,,,
John Dunne,Marist,MAAC,,13,20,.394,,,,,2018-19,58,87,.400,,,,,,211,312,.403,1,,,
Fran Dunphy,La Salle,A-10,,15,19,.441,,,,,2022-23,15,19,.441,,,,,,595,344,.634,17,,,
Pat Duquette,UMass-Lowell,AEC,,26,8,.765,,,,,2013-14,136,163,.455,,,,,,136,163,.455,,,,
Brian Dutcher,San Diego State,MWC,,32,7,.821,19,18,Lost National Final,,2017-18,151,47,.763,4,1,1,,,151,47,.763,4,1,1,
Brian Earl,Cornell,Ivy,,17,11,.607,,,,,2016-17,74,95,.438,,,,,,74,95,.438,,,,
Dan Earl,Chattanooga,Southern,,18,17,.514,,,,,2022-23,18,17,.514,,,,,,91,156,.368,,,,
Cliff Ellis,Coastal Carolina,Sun Belt,,11,20,.355,,,,,2007-08,294,223,.569,2,,,,,830,561,.597,10,3,,
Andy Enfield,USC,Pac-12,,22,11,.667,,,Lost First Round,,2013-14,205,129,.614,5,1,,,,246,157,.610,6,2,,
Dan Engelstad,Mount St. Mary's,MAAC,,13,20,.394,,,,,2018-19,59,90,.396,1,,,,,59,90,.396,1,,,
Jim Engles,Columbia,Ivy,,7,22,.241,,,,,2016-17,46,121,.275,,,,,,157,260,.376,,,,
Kim English,George Mason,A-10,,20,13,.606,,,,,2021-22,34,29,.540,,,,,,34,29,.540,,,,
Patrick Ewing,Georgetown,Big East,,7,25,.219,,,,,2017-18,75,109,.408,1,,,,,75,109,.408,1,,,
Quinton Ferrell,Presbyterian,Big South,,5,27,.156,,,,,2019-20,34,84,.288,,,,,,34,84,.288,,,,
Jim Ferry,UMBC,AEC,,18,14,.562,,,,,2021-22,36,28,.562,,,,,,257,288,.472,2,,,
Mark Few,Gonzaga,WCC,,31,6,.838,2,9,Lost Regional Final,,1999-00,689,135,.836,23,12,2,,,689,135,.836,23,12,2,
Matt Figger,Texas-Rio Grande Valley,WAC,,15,17,.469,,,,,2021-22,23,40,.365,,,,,,99,91,.521,,,,
Dane Fischer,William & Mary,CAA,,13,20,.394,,,,,2019-20,46,68,.404,,,,,,46,68,.404,,,,
Steve Forbes,Wake Forest,ACC,,19,14,.576,,,,,2020-21,50,40,.556,,,,,,180,83,.684,1,,,
Dana Ford,Missouri State,MVC,,17,15,.531,,,,,2018-19,89,66,.574,,,,,,146,131,.527,,,,
Geno Ford,Stony Brook,CAA,,11,22,.333,,,,,2019-20,58,62,.483,,,,,,172,185,.482,,,,
Travis Ford,Saint Louis,A-10,,21,12,.636,,,,,2016-17,133,89,.599,1,,,,,411,315,.566,7,,,
Mark Fox,California,Pac-12,,3,29,.094,,,,,2019-20,38,87,.304,,,,,,324,263,.552,5,,,
Joe Gallo,Merrimack,NEC,,18,16,.529,,,,,2019-20,61,52,.540,,,,,,61,52,.540,,,,
Eran Ganot,Hawaii,Big West,,22,11,.667,,,,,2015-16,136,88,.607,1,,,,,139,90,.607,1,,,
Greg Gard,Wisconsin,Big Ten,,20,15,.571,,,,,2015-16,164,93,.638,5,2,,,,164,93,.638,5,2,,
Greg Gary,Mercer,Southern,,14,19,.424,,,,,2019-20,65,62,.512,,,,,,81,106,.433,,,,
Dennis Gates,Missouri,SEC,,25,10,.714,,23,Lost Second Round,,2022-23,25,10,.714,1,,,,,75,50,.600,2,,,
Kyle Gerdeman,Lindenwood,OVC,,11,21,.344,,,,,2022-23,11,21,.344,,,,,,11,21,.344,,,,
Chris Gerlufsen,San Francisco,WCC,,20,14,.588,,,,,2022-23,20,14,.588,,,,,,28,19,.596,,,,
Gerald Gillion,Chicago State,Ind,,11,20,.355,,,,,2021-22,18,45,.286,,,,,,18,45,.286,,,,
Billy Gillispie,Tarleton State,WAC,,17,17,.500,,,,,2020-21,41,44,.482,,,,,,189,152,.554,4,1,,
Corey Gipson,Northwestern State,Southland,,22,11,.667,,,,,2022-23,22,11,.667,,,,,,22,11,.667,,,,
Todd Golden,Florida,SEC,,16,17,.485,,,,,2022-23,16,17,.485,,,,,,73,53,.579,1,,,
Joe Golding,UTEP,CUSA,,14,18,.438,,,,,2021-22,34,32,.515,,,,,,168,146,.535,2,,,
Stan Gouard,Southern Indiana,OVC,,16,17,.485,,,,,2022-23,16,17,.485,,,,,,16,17,.485,,,,
Anthony Grant,Dayton,A-10,,22,12,.647,24,,,,2017-18,124,64,.660,,,,,,317,174,.646,3,,,
Earl Grant,Boston College,ACC,,16,17,.485,,,,,2021-22,29,37,.439,,,,,,156,126,.553,1,,,
Jared Grasso,Bryant,AEC,,17,13,.567,,,,,2018-19,79,67,.541,1,,,,,80,89,.473,1,,,
Justin Gray,Western Carolina,Southern,,18,16,.529,,,,,2021-22,29,37,.439,,,,,,29,37,.439,,,,
Brian Gregory,South Florida,AAC,,14,18,.438,,,,,2017-18,79,107,.425,,,,,,327,287,.533,2,,,
John Groce,Akron,MAC,,22,11,.667,,,,,2017-18,116,70,.624,1,,,,,296,201,.596,4,1,,
Jerod Haase,Stanford,Pac-12,,14,19,.424,,,,,2016-17,112,109,.507,,,,,,192,162,.542,1,,,
A.W. Hamilton,Eastern Kentucky,A-Sun,,23,14,.622,,,,,2018-19,87,74,.540,,,,,,87,74,.540,,,,
Leonard Hamilton *,Florida State,ACC,,9,23,.281,,,,,2002-03,426,265,.616,8,4,,,,626,475,.569,11,5,,
Anfernee Hardaway,Memphis,AAC,,26,9,.743,,24,Lost First Round,,2018-19,111,52,.681,2,,,,,111,52,.681,2,,,
Tavaras Hardy,Loyola (MD),Patriot,,13,20,.394,,,,,2018-19,59,85,.410,,,,,,59,85,.410,,,,
Ray Harper,Jacksonville State,A-Sun,,13,18,.419,,,,,2016-17,132,94,.584,2,,,,,221,158,.583,4,,,
Jonas Hayes,Georgia State,Sun Belt,,10,21,.323,,,,,2022-23,10,21,.323,,,,,,14,21,.400,,,,
Stan Heath,Eastern Michigan,MAC,,8,23,.258,,,,,2021-22,18,44,.290,,,,,,227,251,.475,4,1,,
Greg Heiar,New Mexico State,WAC,,9,15,.375,,,,,2022-23,9,15,.375,,,,,,9,15,.375,,,,
Eric Henderson,South Dakota State,Summit,,19,13,.594,,,,,2019-20,87,35,.713,1,,,,,87,35,.713,1,,,
Mitch Henderson,Princeton,Ivy,,23,9,.719,,,Lost Regional Semifinal,,2011-12,208,117,.640,2,1,,,,208,117,.640,2,1,,
Steve Henson,UTSA,CUSA,,10,22,.312,,,,,2016-17,99,123,.446,,,,,,99,123,.446,,,,
Bill Herrion,New Hampshire,AEC,,15,15,.500,,,,,2005-06,227,303,.428,,,,,,464,472,.496,3,,,
Talvin Hester,Louisiana Tech,CUSA,,15,18,.455,,,,,2022-23,15,18,.455,,,,,,15,18,.455,,,,
Fred Hoiberg,Nebraska,Big Ten,,16,16,.500,,,,,2019-20,40,83,.325,,,,,,155,139,.527,4,1,,
Shaheen Holloway,Seton Hall,Big East,,17,16,.515,,,,,2022-23,17,16,.515,,,,,,81,70,.536,1,1,,
Chris Holtmann,Ohio State,Big Ten,,16,19,.457,,,,,2017-18,123,75,.621,4,,,,,237,160,.597,7,1,,
Jason Hooten,Sam Houston,WAC,,26,8,.765,,,,,2010-11,261,169,.607,,,,,,261,169,.607,,,,
Mike Hopkins,Washington,Pac-12,,16,16,.500,,,,,2017-18,101,91,.526,,,,,,105,96,.522,1,,,
Darrin Horn,Northern Kentucky,Horizon,,22,13,.629,,,Lost First Round,,2019-20,79,45,.637,1,,,,,250,156,.616,2,1,,
Juwan Howard,Michigan,Big Ten,,18,16,.529,22,,,,2019-20,79,48,.622,2,2,,,,79,48,.622,2,2,,
Michael Huger,Bowling Green State,MAC,,11,20,.355,,,,,2015-16,126,125,.502,,,,,,126,125,.502,,,,
Bob Huggins,West Virginia,Big 12,,19,15,.559,,,Lost First Round,,2007-08,345,203,.630,11,5,1,,,863,389,.689,26,9,2,
Otis Hughley Jr.,Alabama A&M,SWAC,,15,18,.455,,,,,2022-23,15,18,.455,,,,,,15,18,.455,,,,
Ron Hunter,Tulane,AAC,,20,11,.645,,,,,2019-20,56,57,.496,,,,,,448,331,.575,4,,,
Bobby Hurley,Arizona State,Pac-12,,23,13,.639,,,Lost First Round,,2015-16,141,113,.555,3,,,,,183,133,.579,4,,,
Dan Hurley,UConn,Big East,,31,8,.795,,10,Won National Final,,2018-19,104,55,.654,3,1,1,1,,255,160,.614,5,1,1,1
Justin Hutson,Fresno State,MWC,,11,20,.355,,,,,2018-19,80,73,.523,,,,,,80,73,.523,,,,
Martin Ingelsby,Delaware,CAA,,17,16,.515,,,,,2016-17,112,103,.521,1,,,,,112,103,.521,1,,,
